hue,name,hex,red,green,blue,sat,light
50.6,Gold,#ffd700,255,215,0,100.0,50.0
50.8,School bus yellow,#ffd800,255,216,0,100.0,50.0
51.0,Arylide yellow,#e9d66b,233,214,107,74.1,66.7
51.0,Hansa yellow,#e9d66b,233,214,107,74.1,66.7
51.1,Banana yellow,#ffe135,255,225,53,100.0,60.4
52.0,Sandstorm,#ecd540,236,213,64,81.9,58.8
52.0,Flavescent,#f7e98e,247,233,142,86.8,76.3
52.2,Brass,#b5a642,181,166,66,46.6,48.4
52.5,Golden yellow,#ffdf00,255,223,0,100.0,50.0
54.0,Light khaki,#f0e68c,240,230,140,76.9,74.5
54.0,Lemon chiffon,#fffacd,255,250,205,100.0,90.2
54.3,Corn,#fbec5d,251,236,93,95.2,67.5
54.3,Maize,#fbec5d,251,236,93,95.2,67.5
54.4,Straw,#e4d96f,228,217,111,68.4,66.5
54.5,Citrine,#e4d00a,228,208,10,91.6,46.7
54.7,Pale goldenrod,#eee8aa,238,232,170,66.7,80.0
55.3,Dandelion,#f0e130,240,225,48,86.5,56.5
55.6,Dark khaki,#bdb76b,189,183,107,38.3,58.0
56.2,Canary yellow,#ffef00,255,239,0,100.0,50.0
56.3,Lemon Yellow,#fff44f,255,244,79,100.0,65.5
56.4,Aureolin,#fdee00,253,238,0,100.0,49.6
57.4,Cream,#fffdd0,255,253,208,100.0,90.8
57.9,Cadmium yellow,#fff600,255,246,0,100.0,50.0
58.0,Titanium yellow,#eee600,238,230,0,100.0,46.7
58.1,Icterine,#fcf75e,252,247,94,96.3,67.8
58.1,Lemon,#fff700,255,247,0,100.0,50.0
58.5,Olive Green,#bab86c,186,184,108,36.1,57.6
58.7,Pale spring bud,#ecebbd,236,235,189,55.3,83.3
59.0,Peridot,#e6e200,230,226,0,100.0,45.1
60.0,Battleship grey,#848482,132,132,130,0.8,51.4
60.0,Pastel gray,#cfcfc4,207,207,196,10.3,79.0
60.0,Beige,#f5f5dc,245,245,220,55.6,91.2
60.0,Light goldenrod yellow,#fafad2,250,250,210,80.0,90.2
60.0,Pastel yellow,#fdfd96,253,253,150,96.3,79.0
60.0,Laser Lemon,#fefe22,254,254,34,99.1,56.5
60.0,Heart Gold,#808000,128,128,0,100.0,25.1
60.0,Olive,#808000,128,128,0,100.0,25.1
60.0,Electric yellow,#ffff00,255,255,0,100.0,50.0
60.0,Yellow,#ffff00,255,255,0,100.0,50.0
60.0,Daffodil,#ffff31,255,255,49,100.0,59.6
60.0,Unmellow Yellow,#ffff66,255,255,102,100.0,70.0
60.0,Canary,#ffff99,255,255,153,100.0,80.0
60.0,Light yellow,#ffffed,255,255,237,100.0,96.5
60.0,Ivory,#fffff0,255,255,240,100.0,97.1
65.8,Pear,#d1e231,209,226,49,75.3,53.9
69.4,Army green,#4b5320,75,83,32,44.3,22.5
72.0,Electric lime,#ccff00,204,255,0,100.0,50.0
72.0,Fluorescent yellow,#ccff00,204,255,0,100.0,50.0
73.3,June bud,#bdda57,189,218,87,63.9,59.8
73.4,Medium spring bud,#c9dc87,201,220,135,54.8,69.6
73.5,Apple green,#8db600,141,182,0,100.0,35.7
74.5,Android Green,#a4c639,164,198,57,55.3,50.0
75.1,Lemon lime,#bfff00,191,255,0,100.0,50.0
75.1,Lime,#bfff00,191,255,0,100.0,50.0
79.6,Olive Drab,#6b8e23,107,142,35,60.5,34.7
79.7,Yellow green,#9acd32,154,205,50,60.8,50.0
80.0,Rifle green,#414833,65,72,51,17.1,24.1
80.2,Spring bud,#a7fc00,167,252,0,100.0,49.4
82.0,Dark olive green,#556b2f,85,107,47,39.0,30.2
83.7,Green yellow,#adff2f,173,255,47,100.0,59.2
84.3,Inchworm,#b2ec5d,178,236,93,79.0,64.5
86.6,Olivine,#9ab973,154,185,115,33.3,58.8
90.1,Chartreuse,#7fff00,127,255,0,100.0,50.0
